id_igralca,id_filma,vloga
0070886,0042646,I
0349162,0042646,I
0412178,0042646,I
0746705,0042646,I
0071682,0042646,R
0554249,0042646,R
0545298,0043050,I
0280904,0043050,R
0528032,0043050,R
0644289,0043050,R
0001893,0042393,I
0027566,0042393,I
0694631,0042393,I
0921879,0042393,I
0639895,0042393,I
0141111,0042393,I
0267916,0042393,I
0307325,0042393,I
0321930,0042393,I
0447320,0042393,I
0543319,0042393,I
0589009,0042393,I
0681635,0042393,I
0764972,0042393,I
0821282,0042393,I
0828260,0042393,I
0911970,0042393,I
0681635,0042393,R
0000046,0044081,I
0000008,0044081,I
0001375,0044081,I
0001500,0044081,I
0094036,0044081,I
0219528,0044081,I
0384976,0044081,I
0455389,0044081,I
0308257,0044081,I
0220280,0044081,I
0858777,0044081,I
0474139,0044081,I
0033706,0044081,I
0045839,0044081,I
0069895,0044081,I
0112062,0044081,I
0134783,0044081,I
0313478,0044081,I
0001415,0044081,R
0001050,0043924,I
0000072,0043924,I
0001859,0043924,I
0720843,0043924,I
0105462,0043924,I
0163939,0043924,I
0000994,0043924,I
0382229,0043924,I
0791805,0043924,I
0408586,0043924,I
0321469,0043924,I
0761340,0043924,I
0208125,0043924,I
0725891,0043924,I
0153611,0043924,I
0293659,0043924,I
0026434,0043924,I
0040090,0043924,I
0828419,0043924,R
0000007,0043265,I
0000031,0043265,I
0605923,0043265,I
0119988,0043265,I
0000942,0043265,I
0331770,0043265,I
0822842,0043265,I
0549424,0043265,I
0033426,0043265,I
0424159,0043265,I
0492149,0043265,I
0648736,0043265,I
0902576,0043265,I
0001379,0043265,R
0000027,0044829,I
0391361,0044829,I
0416228,0044829,I
0060023,0044829,I
0276155,0044829,I
0552236,0044829,I
0758151,0044829,I
0010580,0044829,I
0357418,0044829,I
0572324,0044829,I
0339992,0044829,I
0607948,0044829,I
0846407,0044829,I
0121783,0044829,I
0000030,0044829,I
0289302,0044829,I
0873985,0044829,I
0373553,0044829,I
0187769,0044829,R
0000037,0043278,I
0001989,0043278,I
0505157,0043278,I
0350250,0043278,I
0001225,0043278,I
0024740,0043278,I
0026913,0043278,I
0028759,0043278,I
0036530,0043278,I
0051377,0043278,I
3576722,0043278,I
0060528,0043278,I
1060636,0043278,I
3576599,0043278,I
0081280,0043278,I
0086636,0043278,I
0089698,0043278,I
0090197,0043278,I
0591486,0043278,R
0220566,0044207,I
0750640,0044207,I
0361048,0044207,I
0398466,0044207,I
0444122,0044207,I
0024720,0044207,I
0153679,0044207,I
0128326,0044207,I
0740718,0044207,I
0317637,0044207,I
0001906,0044207,I
0040090,0044207,I
0063038,0044207,I
0096618,0044207,I
0141111,0044207,I
0152504,0044207,I
0172321,0044207,I
0174607,0044207,I
0005789,0044207,R
0487292,0043599,I
0001955,0043599,I
0457025,0043599,I
0637229,0043599,I
0006119,0043599,I
0717203,0043599,I
0291829,0043599,I
0232213,0043599,I
0621002,0043599,I
0433439,0043599,I
0589594,0043599,I
0579684,0043599,I
0719710,0043599,I
0656980,0043599,I
0697094,0043599,I
0797974,0043599,I
0164650,0043599,I
0938052,0043599,I
0861703,0043599,R
0001078,0043633,I
0943837,0043633,I
0807252,0043633,I
0867144,0043633,I
0059165,0043633,I
0445290,0043633,I
0312643,0043633,I
0912478,0043633,I
0913340,0043633,I
0431445,0043633,I
0318349,0043633,I
0938052,0043633,I
0146185,0043633,I
0179289,0043633,I
0715284,0043633,I
0121707,0043633,I
0326809,0043633,I
0045784,0043633,I
0001008,0043633,R
0000011,0044706,I
0000038,0044706,I
0593775,0044706,I
0000978,0044706,I
0432827,0044706,I
0472603,0044706,I
0001033,0044706,I
0604702,0044706,I
0531756,0044706,I
0574670,0044706,I
0267670,0044706,I
0788288,0044706,I
0001812,0044706,I
0929057,0044706,I
0941125,0044706,I
0007342,0044706,I
5280431,0044706,I
0051618,0044706,I
0003593,0044706,R
0000122,0044837,I
0001954,0044837,I
0115558,0044837,I
0000036,0044837,I
0152261,0044837,I
0516093,0044837,I
0251063,0044837,I
0370781,0044837,I
0071913,0044837,I
0238725,0044837,I
0076150,0044837,I
0448852,0044837,I
0322728,0044837,I
0610950,0044837,I
0881022,0044837,I
0689444,0044837,I
0525021,0044837,I
6243154,0044837,I
0000122,0044837,R
0693560,0043686,I
0287637,0043686,I
0025523,0043686,I
0046133,0043686,I
0053884,0043686,I
0183790,0043686,I
0399471,0043686,I
0547462,0043686,I
0581142,0043686,I
0598368,0043686,I
0702446,0043686,I
0747016,0043686,I
0756788,0043686,I
0913607,0043686,I
0256709,0043686,I
5541840,0043686,I
8217543,0043686,I
0378589,0043686,I
0167496,0043686,R
0001805,0044391,I
0000018,0044391,I
0682074,0044391,I
0694090,0044391,I
0837959,0044391,I
0002108,0044391,I
0738042,0044391,I
0001991,0044391,I
0114847,0044391,I
0829717,0044391,I
0925429,0044391,I
0829359,0044391,I
0872683,0044391,I
0012175,0044391,I
0003224,0044391,I
0035680,0044391,I
