id_filma,id_igralca,vloga
0071129,0953025,I
0071129,0535991,I
0071129,0000019,R
0070460,0000302,I
0070460,0529543,I
0070460,0000076,I
0070460,0000076,R
0070509,0000961,I
0070509,0905993,I
0070509,0002144,I
0070509,0108745,R
0070640,0000493,I
0070640,0318527,I
0070640,0374348,I
0070640,0000814,R
0070819,0001719,I
0070819,0413559,I
0070819,0000649,I
0070819,0291035,R
0069812,0576590,I
0069812,14463678,I
0069812,14463674,I
0069812,0275180,R
0069812,5850281,R
0070071,0610006,I
0070071,0610005,R
0070071,0610006,R
0071562,0000199,I
0071562,0000134,I
0071562,0000380,I
0071562,0000338,R
0071315,0000197,I
0071315,0001159,I
0071315,0001379,I
0071315,0000591,R
0072308,0000056,I
0072308,0000537,I
0072308,0000034,I
0072308,0347086,R
0071877,0001215,I
0071877,0000002,I
0071877,0000006,I
0071877,0001486,R
0071455,0000032,I
0071455,0001257,I
0071455,0001421,I
0071455,0733476,R
0071577,0000602,I
0071577,0001201,I
0071577,0001136,I
0071577,0002338,R
0071115,0000995,I
0071115,0001434,I
0071115,0070592,I
0071115,0000217,R
0071604,8844279,I
0071604,8844280,I
0071604,0628924,I
0071604,0205282,R
0071598,0138770,I
0071598,0000995,I
0071598,0258089,I
0071598,0005196,R
0071337,2539992,I
0071337,3656107,I
0071337,0306735,R
0071337,0899139,R
0070135,0536750,I
0070135,0528555,I
0070135,0566948,I
0070135,0581303,R
0071943,0699510,I
0071943,0545054,I
0071943,0152820,I
0071943,0503778,R
0071943,0005895,R
0070561,7145464,I
0070561,7145461,I
0070561,7145460,I
0070561,0469313,R
0070561,0756040,R
0073195,0001702,I
0073195,0001727,I
0073195,0000377,I
0073195,0000229,R
0073486,0000197,I
0073486,0001221,I
0073486,0077720,I
0073486,0001232,R
0072684,0641939,I
